standard_id,standard_version,dimension_id,dimension_name_en,dimension_name_ja,code,label_en,label_ja,definition_en,definition_ja,scope_notes,examples,status,introduced_in,deprecated_in,removed_in,replaced_by,backward_compatible,references,owner,last_reviewed_date
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-006,Code Review,コードレビュー,Reviewing code for issues and improvements.,コードの問題点・改善点レビュー。,"May expose proprietary code.","review",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-007,Data Analysis,データ分析,Analyzing structured data and producing insights.,構造化データの分析と洞察生成。,"Consider data classification and export restrictions.","csv analysis",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-008,Classification/Tagging,分類/タグ付け,Classifying or labeling content.,コンテンツの分類・タグ付け。,"Used for routing and triage.","ticket triage",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-009,Search/RAG,検索/RAG,RAG-based retrieval and question answering.,RAGによる検索・質問応答。,"Risk depends on indexed data scope.","enterprise search",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-010,Agentic Automation,エージェント自動化,Autonomous or semi-autonomous agents executing actions.,自律/半自律エージェントによるアクション実行。,"Highest need for controls and logging.","agent workflow",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-001,Public,公開情報,Data that is publicly available and intended for public disclosure.,公開されており、公に利用されることを意図したデータ。,"Still consider IP/copyright constraints.","public web|press release",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-002,Internal,社内情報,Non-public internal business data.,非公開の社内業務データ。,"May include confidential business info.","internal wiki|project docs",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-003,Confidential,機密情報,Highly sensitive internal data requiring restricted access.,アクセス制限が必要な高機密データ。,"Includes trade secrets.","strategy deck|M&A",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-004,Personal Data,個人情報,Personal data as defined by applicable privacy laws.,各国のプライバシー法令等で定義される個人データ。,"Includes identifiers and personal attributes.","name|email",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-005,Sensitive Personal Data,要配慮個人情報,Special category/sensitive personal data.,要配慮個人情報（特別カテゴリ）に該当するデータ。,"Higher controls required.","health|biometrics",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-006,Credentials,認証情報,Authentication secrets and credentials.,認証情報（パスワード、APIキー等）。,"Must never be provided to external AI services unless explicitly allowed.","api key|password",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-007,Source Code,ソースコード,Source code and related artifacts.,ソースコードおよび関連アーティファクト。,"Consider license/IP and secrets scanning.","repo|patch",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-008,Customer Data,顧客データ,Customer-provided or customer-related data.,顧客から提供された、または顧客に関連するデータ。,"May include PII and contractual constraints.","tickets|usage logs",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-001,Web UI,Web UI,Use via a web user interface.,WebブラウザUI経由の利用。,"Includes direct SaaS UI usage.","chat.openai.com|claude.ai",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-002,API,API,Use via programmatic API integration.,API連携による利用。,"Includes internal apps calling model APIs.","openai api|azure openai",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-003,IDE Plugin,IDEプラグイン,Use via IDE/editor plugin.,IDE/エディタプラグイン経由の利用。,"Often developer tooling.","cursor|copilot",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-004,ChatOps,チャット連携,Use via chat platforms (Slack/Teams) integrations.,Slack/Teams等のチャット連携経由の利用。,"Includes bot-based workflows.","slack bot|teams bot",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-005,Desktop App,デスクトップアプリ,Use via native desktop application.,ネイティブデスクトップアプリ経由の利用。,"Includes Electron apps.","desktop client",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-006,Mobile App,モバイルアプリ,Use via native mobile application.,ネイティブモバイルアプリ経由の利用。,"Includes iOS/Android.","mobile client",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-001,Standalone,単体利用,Used standalone without integration into enterprise systems.,企業システム統合なしの単体利用。,"Often highest shadow AI risk.","personal account",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-002,SaaS Integrated,SaaS連携,SaaS application integrates AI features.,SaaSアプリがAI機能を統合して提供。,"Vendor-managed integration.","crm ai|support ai",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-003,Enterprise App Embedded,社内アプリ組込み,AI embedded into internal enterprise applications.,社内業務アプリにAIを組み込む。,"Often via API with internal controls.","internal portal",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-004,RPA/Workflow,ワークフロー/RPA,AI invoked within workflow automation or RPA.,ワークフロー自動化/RPA内でAIを呼び出す。,"Requires traceability of triggers and outputs.","n8n|zapier-like",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-005,On-prem / Private,オンプレ/プライベート,AI hosted in private/on-prem environment.,オンプレまたは専用環境でホストするAI。,"May reduce data exfiltration risk.","self-hosted llm",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-001,Data Leakage,情報漏えい,Risk of unintended data disclosure.,意図しないデータ開示のリスク。,"Includes prompt injection and retention risks.","pii exfiltration",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-002,Security Abuse,悪用/攻撃,Risk that the system is abused for malicious purposes.,悪用（攻撃支援等）に利用されるリスク。,"Includes malware generation and social engineering.","phishing|malware",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-003,Compliance Breach,法令/規程違反,Risk of violating laws/regulations/policies.,法令・規程・契約の違反リスク。,"Includes export control and privacy laws.","gdpr|ai act",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-004,IP Infringement,知財侵害,Risk of infringing copyright/patent/trade secrets.,著作権・特許・営業秘密等の侵害リスク。,"Includes training data provenance and output reuse.","copyright",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-005,Model Misuse,モデル誤用,Risk from inappropriate model use or over-reliance.,モデルの不適切利用・過信によるリスク。,"Includes hallucination impacts.","hallucination",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-001,Efficiency,効率化,Improves time/cost efficiency.,時間・コスト効率の改善。,"Measure via cycle time reduction.","time saved",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-002,Quality,品質向上,Improves quality/accuracy of outputs.,成果物の品質・精度向上。,"Measure via error reduction.","fewer errors",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-003,Revenue,売上貢献,Contributes to revenue growth.,売上成長への寄与。,"Measure via conversion uplift.","conversion",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-004,Risk Reduction,リスク低減,Reduces operational/security/compliance risk.,運用・セキュリティ・コンプライアンスリスクの低減。,"Measure via incident reduction.","fewer incidents",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-005,Innovation,新規性/革新,Enables new capabilities or innovations.,新たな能力・イノベーションを実現。,"Measure via new features/offerings.","new feature",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,EV,Evidence Type,証跡種別,EV-001,System Overview,システム概要,Overview of the AI system and its purpose.,AIシステムの概要と目的の説明。,"Mandatory for MVP.","architecture doc",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,EV,Evidence Type,証跡種別,EV-002,Data Flow,データフロー,Data flow diagram and description.,データフロー図と説明。,"Mandatory for MVP.","data flow diagram",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,EV,Evidence Type,証跡種別,EV-003,Inventory,AI資産台帳,Inventory of AI systems and models used.,利用するAIシステム/モデルの台帳。,"Mandatory for MVP.","asset inventory",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,EV,Evidence Type,証跡種別,EV-004,Risk & Impact Assessment,リスク影響評価,Risk and impact assessment documentation.,リスクと影響評価のドキュメント。,"Mandatory for MVP.","risk assessment",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,EV,Evidence Type,証跡種別,EV-005,Controls & Approvals,統制/承認,Control measures and approval records.,統制措置と承認記録。,"Mandatory for MVP.","approval log",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,EV,Evidence Type,証跡種別,EV-006,Logging & Monitoring,ログ監視,Logging and monitoring configuration/evidence.,ログと監視の設定/証跡。,"Mandatory for MVP.","monitoring config",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,EV,Evidence Type,証跡種別,EV-007,Incident & Exception,インシデント/例外,Incident and exception handling records.,インシデントと例外対応の記録。,"Mandatory for MVP.","incident log",active,0.1.0,,,,true,,AIMO WG,2026-01-19
